"Nombre Preferente","Idioma Nombre Preferente","Estatus Nombre Preferente","Variante","Idioma Variante","Grupo","Tipo Entidad","Municipio","Provincia","Comunidad Autónoma","Latitud A","Longitud A","Sistema de Referencia A","Latitud B","Longitud B","Sistema de Referencia B","Mapa","Fuente Nombre Preferente","Fuente Variante","Antes","Idioma Antes"
"Villanueva del Río y Minas","spa","Oficial",,,"POBLA","Población 2",,"Sevilla","Andalucía","37º39'","-5º42'","ED50","37º38'55""","-5º42'4""","ETRS89","0963","REL",,,
"Villaverde del Río","spa","Oficial",,,"POBLA","Población 2",,"Sevilla","Andalucía","37º35'","-5º52'","ED50","37º34'55""","-5º52'4""","ETRS89","0962","REL",,,
"El Viso del Alcor","spa","Oficial",,,"POBLA","Población 2",,"Sevilla","Andalucía","37º23'","-5º43'","ED50","37º22'55""","-5º43'4""","ETRS89","0985","REL",,,
"Almudévar","spa","Oficial",,,"POBLA","Población 2",,"Huesca","Aragón","42º02'","-0º34'","ED50","42º1'56""","-0º34'4""","ETRS89","0285","REL",,,
"Barbastro","spa","Oficial",,,"POBLA","Población 2",,"Huesca","Aragón","42º02'","0º07'","ED50","42º1'56""","0º6'56""","ETRS89","0287","REL",,,
"Binéfar","spa","Oficial",,,"POBLA","Población 2",,"Huesca","Aragón","41º51'","0º17'","ED50","41º50'56""","0º16'56""","ETRS89","0326","REL",,,
"Fraga","spa","Oficial",,,"POBLA","Población 2",,"Huesca","Aragón","41º31'","0º21'","ED50","41º30'56""","0º20'56""","ETRS89","0387","REL",,,
"Graus","spa","Oficial",,,"POBLA","Población 2",,"Huesca","Aragón","42º11'","0º20'","ED50","42º10'56""","0º19'56""","ETRS89","0250","REL",,,
"Jaca","spa","Oficial",,,"POBLA","Población 2",,"Huesca","Aragón","42º34'","-0º32'","ED50","42º33'56""","-0º32'4""","ETRS89","0176","REL",,,
"Monzón","spa","Oficial",,,"POBLA","Población 2",,"Huesca","Aragón","41º54'","0º11'","ED50","41º53'56""","0º10'56""","ETRS89","0326","REL",,,
"Sabiñánigo","spa","Oficial",,,"POBLA","Población 2",,"Huesca","Aragón","42º31'","-0º21'","ED50","42º30'56""","-0º21'4""","ETRS89","0177","REL",,,
"Sariñena","spa","Oficial",,,"POBLA","Población 2",,"Huesca","Aragón","41º47'","-0º09'","ED50","41º46'56""","-0º9'4""","ETRS89","0357","REL",,,
"Tamarite de Litera","spa","Oficial",,,"POBLA","Población 2",,"Huesca","Aragón","41º52'","0º25'","ED50","41º51'56""","0º24'56""","ETRS89","0326","REL",,,
"Albalate del Arzobispo","spa","Oficial",,,"POBLA","Población 2",,"Teruel","Aragón","41º07'","-0º30'","ED50","41º6'55""","-0º30'4""","ETRS89","0468","REL",,,
"Alcañiz","spa","Oficial",,,"POBLA","Población 2",,"Teruel","Aragón","41º03'","-0º07'","ED50","41º2'55""","-0º7'4""","ETRS89","0469","REL",,,
"Alcorisa","spa","Oficial",,,"POBLA","Población 2",,"Teruel","Aragón","40º53'","-0º22'","ED50","40º52'55""","-0º22'4""","ETRS89","0494","REL",,,
"Andorra","spa","Oficial",,,"POBLA","Población 2",,"Teruel","Aragón","40º58'","-0º26'","ED50","40º57'55""","-0º26'4""","ETRS89","0494","REL",,,
"Calamocha","spa","Oficial",,,"POBLA","Población 2",,"Teruel","Aragón","40º55'","-1º17'","ED50","40º54'55""","-1º17'4""","ETRS89","0491","REL",,,
"Calanda","spa","Oficial",,,"POBLA","Población 2",,"Teruel","Aragón","40º56'","-0º13'","ED50","40º55'55""","-0º13'4""","ETRS89","0494","REL",,,
"Cella","spa","Oficial",,,"POBLA","Población 2",,"Teruel","Aragón","40º27'","-1º17'","ED50","40º26'55""","-1º17'4""","ETRS89","0566","REL",,,
"Monreal del Campo","spa","Oficial",,,"POBLA","Población 2",,"Teruel","Aragón","40º47'","-1º21'","ED50","40º46'55""","-1º21'4""","ETRS89","0516","REL",,,
"Teruel","spa","Oficial",,,"POBLA","Población 2",,"Teruel","Aragón","40º21'","-1º06'","ED50","40º20'55""","-1º6'4""","ETRS89","0567","REL",,,
"Utrillas","spa","Oficial",,,"POBLA","Población 2",,"Teruel","Aragón","40º48'","-0º50'","ED50","40º47'55""","-0º50'4""","ETRS89","0518","REL",,,
"Valderrobres","spa","Oficial",,,"POBLA","Población 2",,"Teruel","Aragón","40º52'","0º09'","ED50","40º51'55""","0º8'56""","ETRS89","0496","REL",,,
"Alagón","spa","Oficial",,,"POBLA","Población 2",,"Zaragoza","Aragón","41º46'","-1º07'","ED50","41º45'55""","-1º7'4""","ETRS89","0354","REL",,,
"La Almunia de Doña Godina","spa","Oficial",,,"POBLA","Población 2",,"Zaragoza","Aragón","41º28'","-1º22'","ED50","41º27'55""","-1º22'4""","ETRS89","0410","REL",,,
"Ateca","spa","Oficial",,,"POBLA","Población 2",,"Zaragoza","Aragón","41º19'","-1º47'","ED50","41º18'55""","-1º47'4""","ETRS89","0437","REL",,,
"Borja","spa","Oficial",,,"POBLA","Población 2",,"Zaragoza","Aragón","41º50'","-1º31'","ED50","41º49'55""","-1º31'4""","ETRS89","0320","REL",,,
"Calatayud","spa","Oficial",,,"POBLA","Población 2",,"Zaragoza","Aragón","41º21'","-1º38'","ED50","41º20'55""","-1º38'4""","ETRS89","0409","REL",,,
"Calatorao","spa","Oficial",,,"POBLA","Población 2",,"Zaragoza","Aragón","41º31'","-1º20'","ED50","41º30'55""","-1º20'4""","ETRS89","0382","REL",,,
"Cariñena","spa","Oficial",,,"POBLA","Población 2",,"Zaragoza","Aragón","41º20'","-1º13'","ED50","41º19'55""","-1º13'4""","ETRS89","0410","REL",,,
"Caspe","spa","Oficial",,,"POBLA","Población 2",,"Zaragoza","Aragón","41º14'","-0º02'","ED50","41º13'55""","-0º2'4""","ETRS89","0442","REL",,,
"Cuarte de Huerva","spa","Oficial",,,"POBLA","Población 2",,"Zaragoza","Aragón","41º35'","-0º55'","ED50","41º34'55""","-0º55'4""","ETRS89","0383","REL",,,
"Daroca","spa","Oficial",,,"POBLA","Población 2",,"Zaragoza","Aragón","41º06'","-1º24'","ED50","41º5'55""","-1º24'4""","ETRS89","0465","REL",,,
"Ejea de los Caballeros","spa","Oficial",,,"POBLA","Población 2",,"Zaragoza","Aragón","42º07'","-1º08'","ED50","42º6'55""","-1º8'4""","ETRS89","0284","REL",,,
"Épila","spa","Oficial",,,"POBLA","Población 2",,"Zaragoza","Aragón","41º36'","-1º16'","ED50","41º35'55""","-1º16'4""","ETRS89","0382","REL",,,
"Fuentes de Ebro","spa","Oficial",,,"POBLA","Población 2",,"Zaragoza","Aragón","41º30'","-0º37'","ED50","41º29'55""","-0º37'4""","ETRS89","0384","REL",,,
"Gallur","spa","Oficial",,,"POBLA","Población 2",,"Zaragoza","Aragón","41º52'","-1º19'","ED50","41º51'55""","-1º19'4""","ETRS89","0321","REL",,,
"Illueca","spa","Oficial",,,"POBLA","Población 2",,"Zaragoza","Aragón","41º32'","-1º37'","ED50","41º31'55""","-1º37'4""","ETRS89","0381","REL",,,
"Mallén","spa","Oficial",,,"POBLA","Población 2",,"Zaragoza","Aragón","41º54'","-1º25'","ED50","41º53'55""","-1º25'4""","ETRS89","0321","REL",,,
"María de Huerva","spa","Oficial",,,"POBLA","Población 2",,"Zaragoza","Aragón","41º32'","-0º59'","ED50","41º31'55""","-0º59'4""","ETRS89","0383","REL",,,
"Mequinenza","spa","Oficial",,,"POBLA","Población 2",,"Zaragoza","Aragón","41º22'","0º18'","ED50","41º21'55""","0º17'56""","ETRS89","0415","REL",,,
"La Muela","spa","Oficial",,,"POBLA","Población 2",,"Zaragoza","Aragón","41º34'","-1º07'","ED50","41º33'55""","-1º7'4""","ETRS89","0383","REL",,,
"Pedrola","spa","Oficial",,,"POBLA","Población 2",,"Zaragoza","Aragón","41º47'","-1º12'","ED50","41º46'55""","-1º12'4""","ETRS89","0353","REL",,,
"Pina de Ebro","spa","Oficial",,,"POBLA","Población 2",,"Zaragoza","Aragón","41º29'","-0º31'","ED50","41º28'55""","-0º31'4""","ETRS89","0412","REL",,,
"Pinseque","spa","Oficial",,,"POBLA","Población 2",,"Zaragoza","Aragón","41º44'","-1º06'","ED50","41º43'55""","-1º6'4""","ETRS89","0354","REL",,,
"La Puebla de Alfindén","spa","Oficial",,,"POBLA","Población 2",,"Zaragoza","Aragón","41º37'","-0º44'","ED50","41º36'55""","-0º44'4""","ETRS89","0384","REL",,,
"Quinto","spa","Oficial",,,"POBLA","Población 2",,"Zaragoza","Aragón","41º25'","-0º29'","ED50","41º24'55""","-0º29'4""","ETRS89","0413","REL",,,
"Ricla","spa","Oficial",,,"POBLA","Población 2",,"Zaragoza","Aragón","41º30'","-1º24'","ED50","41º29'55""","-1º24'4""","ETRS89","0382","REL",,,
"San Mateo de Gállego","spa","Oficial",,,"POBLA","Población 2",,"Zaragoza","Aragón","41º49'","-0º46'","ED50","41º48'55""","-0º46'4""","ETRS89","0355","REL",,,
"Tarazona","spa","Oficial",,,"POBLA","Población 2",,"Zaragoza","Aragón","41º54'","-1º43'","ED50","41º53'55""","-1º43'4""","ETRS89","0320","REL",,,
"Tauste","spa","Oficial",,,"POBLA","Población 2",,"Zaragoza","Aragón","41º55'","-1º15'","ED50","41º54'55""","-1º15'4""","ETRS89","0321","REL",,,
"Utebo","spa","Oficial",,,"POBLA","Población 2",,"Zaragoza","Aragón","41º42'","-0º59'","ED50","41º41'55""","-0º59'4""","ETRS89","0354","REL",,,
"Villanueva de Gállego","spa","Oficial",,,"POBLA","Población 2",,"Zaragoza","Aragón","41º46'","-0º49'","ED50","41º45'55""","-0º49'4""","ETRS89","0355","REL",,,
"Zuera","spa","Oficial",,,"POBLA","Población 2",,"Zaragoza","Aragón","41º52'","-0º47'","ED50","41º51'55""","-0º47'4""","ETRS89","0323","REL",,,
"Agüimes","spa","Oficial",,,"POBLA","Población 2",,"Las Palmas","Canarias","27º54'","-15º26'","REGCAN95","27º54'","-15º26'","REGCAN95","1107","REL",,,
"Arrecife","spa","Oficial",,,"POBLA","Población 2",,"Las Palmas","Canarias","28º57'","-13º33'","REGCAN95","28º57'","-13º33'","REGCAN95","1082","REL",,,
"Arucas","spa","Oficial",,,"POBLA","Población 2",,"Las Palmas","Canarias","28º07'","-15º31'","REGCAN95","28º07'","-15º31'","REGCAN95","1098","REL",,,
"Gáldar","spa","Oficial",,,"POBLA","Población 2",,"Las Palmas","Canarias","28º08'","-15º39'","REGCAN95","28º08'","-15º39'","REGCAN95","1098","REL",,,
"Ingenio","spa","Oficial",,,"POBLA","Población 2",,"Las Palmas","Canarias","27º55'","-15º26'","REGCAN95","27º55'","-15º26'","REGCAN95","1107","REL",,,
"Puerto del Rosario","spa","Oficial",,,"POBLA","Población 2",,"Las Palmas","Canarias","28º29'","-13º51'","REGCAN95","28º29'","-13º51'","REGCAN95","1090","REL",,,
"San Bartolomé","spa","Oficial",,,"POBLA","Población 2",,"Las Palmas","Canarias","28º59'","-13º36'","REGCAN95","28º59'","-13º36'","REGCAN95","1082","REL",,,
"Tías","spa","Oficial",,,"POBLA","Población 2",,"Las Palmas","Canarias","28º57'","-13º39'","REGCAN95","28º57'","-13º39'","REGCAN95","1082","REL",,,
"Vega de San Mateo","spa","Oficial",,,"POBLA","Población 2",,"Las Palmas","Canarias","28º00'","-15º31'","REGCAN95","28º00'","-15º31'","REGCAN95","1104","REL",,,
"Adeje","spa","Oficial",,,"POBLA","Población 2",,"Santa Cruz de Tenerife","Canarias","28º07'","-16º43'","REGCAN95","28º07'","-16º43'","REGCAN95","1096","REL",,,
"Arafo","spa","Oficial",,,"POBLA","Población 2",,"Santa Cruz de Tenerife","Canarias","28º20'","-16º25'","REGCAN95","28º20'","-16º25'","REGCAN95","1092","REL",,,
"Buenavista del Norte","spa","Oficial",,,"POBLA","Población 2",,"Santa Cruz de Tenerife","Canarias","28º20'","-16º51'","REGCAN95","28º20'","-16º51'","REGCAN95","1091","REL",,,
"Candelaria","spa","Oficial",,,"POBLA","Población 2",,"Santa Cruz de Tenerife","Canarias","28º21'","-16º22'","REGCAN95","28º21'","-16º22'","REGCAN95","1092","REL",,,
"La Esperanza","spa","Oficial",,,"POBLA","Población 2","El Rosario","Santa Cruz de Tenerife","Canarias","28º26'","-16º21'","REGCAN95","28º26'","-16º21'","REGCAN95","1088","REL",,,
"Garachico","spa","Oficial",,,"POBLA","Población 2",,"Santa Cruz de Tenerife","Canarias","28º22'","-16º45'","REGCAN95","28º22'","-16º45'","REGCAN95","1091","REL",,,
"Granadilla de Abona","spa","Oficial",,,"POBLA","Población 2",,"Santa Cruz de Tenerife","Canarias","28º07'","-16º34'","REGCAN95","28º07'","-16º34'","REGCAN95","1099","REL",,,
"La Guancha","spa","Oficial",,,"POBLA","Población 2",,"Santa Cruz de Tenerife","Canarias","28º20'","-16º39'","REGCAN95","28º20'","-16º39'","REGCAN95","1091","REL",,,
"Guía de Isora","spa","Oficial",,,"POBLA","Población 2",,"Santa Cruz de Tenerife","Canarias","28º12'","-16º46'","REGCAN95","28º12'","-16º46'","REGCAN95","1096","REL",,,
"Güímar","spa","Oficial",,,"POBLA","Población 2",,"Santa Cruz de Tenerife","Canarias","28º18'","-16º24'","REGCAN95","28º18'","-16º24'","REGCAN95","1092","REL",,,
"Icod de los Vinos","spa","Oficial",,,"POBLA","Población 2",,"Santa Cruz de Tenerife","Canarias","28º22'","-16º42'","REGCAN95","28º22'","-16º42'","REGCAN95","1091","REL",,,
"Los Llanos de Aridane","spa","Oficial",,,"POBLA","Población 2",,"Santa Cruz de Tenerife","Canarias","28º39'","-17º54'","REGCAN95","28º39'","-17º54'","REGCAN95","1085","REL",,,
"La Matanza de Acentejo","spa","Oficial",,,"POBLA","Población 2",,"Santa Cruz de Tenerife","Canarias","28º27'","-16º26'","REGCAN95","28º27'","-16º26'","REGCAN95","1088","REL",,,
"La Orotava","spa","Oficial",,,"POBLA","Población 2",,"Santa Cruz de Tenerife","Canarias","28º23'","-16º31'","REGCAN95","28º23'","-16º31'","REGCAN95","1092","REL",,,
"Puerto de la Cruz","spa","Oficial",,,"POBLA","Población 2",,"Santa Cruz de Tenerife","Canarias","28º24'","-16º33'","REGCAN95","28º24'","-16º33'","REGCAN95","1092","REL",,,
"Realejo Alto","spa","Oficial",,,"POBLA","Población 2","Los Realejos","Santa Cruz de Tenerife","Canarias","28º22'","-16º35'","REGCAN95","28º22'","-16º35'","REGCAN95","1092","REL",,,
"San Cristóbal de La Laguna","spa","Oficial",,,"POBLA","Población 2",,"Santa Cruz de Tenerife","Canarias","28º29'","-16º18'","REGCAN95","28º29'","-16º18'","REGCAN95","1088","REL",,,
"San Miguel","spa","Oficial",,,"POBLA","Población 2","San Miguel de Abona","Santa Cruz de Tenerife","Canarias","28º05'","-16º36'","REGCAN95","28º05'","-16º36'","REGCAN95","1102","REL",,,
"San Pedro","spa","Oficial",,,"POBLA","Población 2","Breña Alta","Santa Cruz de Tenerife","Canarias","28º39'","-17º47'","REGCAN95","28º39'","-17º47'","REGCAN95","1085","REL",,,
"San Sebastián de la Gomera","spa","Oficial",,,"POBLA","Población 2",,"Santa Cruz de Tenerife","Canarias","28º05'","-17º06'","REGCAN95","28º05'","-17º06'","REGCAN95","1095, 1101","REL",,,
"Santa Cruz de la Palma","spa","Oficial",,,"POBLA","Población 2",,"Santa Cruz de Tenerife","Canarias","28º40'","-17º45'","REGCAN95","28º40'","-17º45'","REGCAN95","1085","REL",,,
"Santa Úrsula","spa","Oficial",,,"POBLA","Población 2",,"Santa Cruz de Tenerife","Canarias","28º25'","-16º29'","REGCAN95","28º25'","-16º29'","REGCAN95","1092","REL",,,
"Los Sauces","spa","Oficial",,,"POBLA","Población 2","San Andrés y Sauces","Santa Cruz de Tenerife","Canarias","28º47'","-17º45'","REGCAN95","28º47'","-17º45'","REGCAN95","1083","REL",,,
"Tacoronte","spa","Oficial",,,"POBLA","Población 2",,"Santa Cruz de Tenerife","Canarias","28º28'","-16º24'","REGCAN95","28º28'","-16º24'","REGCAN95","1088","REL",,,
"Tazacorte","spa","Oficial",,,"POBLA","Población 2",,"Santa Cruz de Tenerife","Canarias","28º38'","-17º55'","REGCAN95","28º38'","-17º55'","REGCAN95","1085","REL",,,
"Tegueste","spa","Oficial",,,"POBLA","Población 2",,"Santa Cruz de Tenerife","Canarias","28º31'","-16º20'","REGCAN95","28º31'","-16º20'","REGCAN95","1088","REL",,,
"La Victoria de Acentejo","spa","Oficial",,,"POBLA","Población 2",,"Santa Cruz de Tenerife","Canarias","28º25'","-16º28'","REGCAN95","28º25'","-16º28'","REGCAN95","1092","REL",,,
"Ampuero","spa","Oficial",,,"POBLA","Población 2",,"Cantabria","Cantabria","43º20'","-3º24'","ED50","43º19'55""","-3º24'5""","ETRS89","0036","REL",,,
"El Astillero","spa","Oficial",,,"POBLA","Población 2",,"Cantabria","Cantabria","43º24'","-3º49'","ED50","43º23'55""","-3º49'5""","ETRS89","0035","REL",,,
"Cabezón de la Sal","spa","Oficial",,,"POBLA","Población 2",,"Cantabria","Cantabria","43º19'","-4º14'","ED50","43º18'55""","-4º14'5""","ETRS89","0057","REL",,,
"Castro-Urdiales","spa","Oficial",,,"POBLA","Población 2",,"Cantabria","Cantabria","43º23'","-3º13'","ED50","43º22'56""","-3º13'5""","ETRS89","0036","REL",,,
"Colindres","spa","Oficial",,,"POBLA","Población 2",,"Cantabria","Cantabria","43º24'","-3º27'","ED50","43º23'55""","-3º27'5""","ETRS89","0036","REL",,,
"Los Corrales de Buelna","spa","Oficial",,,"POBLA","Población 2",,"Cantabria","Cantabria","43º16'","-4º04'","ED50","43º15'55""","-4º4'5""","ETRS89","0058","REL",,,
"Laredo","spa","Oficial",,,"POBLA","Población 2",,"Cantabria","Cantabria","43º25'","-3º25'","ED50","43º24'56""","-3º25'5""","ETRS89","0036","REL",,,
"Muriedas","spa","Oficial",,,"POBLA","Población 2","Camargo","Cantabria","Cantabria","43º26'","-3º52'","ED50","43º25'55""","-3º52'5""","ETRS89","0034","REL",,,
"Noja","spa","Oficial",,,"POBLA","Población 2",,"Cantabria","Cantabria","43º29'","-3º31'","ED50","43º28'56""","-3º31'5""","ETRS89","0036","REL",,,
"Puente San Miguel","spa","Oficial",,,"POBLA","Población 2","Reocín","Cantabria","Cantabria","43º22'","-4º05'","ED50","43º21'55""","-4º5'5""","ETRS89","0034","REL",,,
"Reinosa","spa","Oficial",,,"POBLA","Población 2",,"Cantabria","Cantabria","43º00'","-4º08'","ED50","42º59'55""","-4º8'5""","ETRS89","0083","REL",,,
"Renedo","spa","Oficial",,,"POBLA","Población 2","Piélagos","Cantabria","Cantabria","43º21'","-3º57'","ED50","43º20'55""","-3º57'5""","ETRS89","0034","REL",,,
"San Vicente de la Barquera","spa","Oficial",,,"POBLA","Población 2",,"Cantabria","Cantabria","43º23'","-4º24'","ED50","43º22'55""","-4º24'5""","ETRS89","0033","REL",,,
"Santa Cruz de Bezana","spa","Oficial",,,"POBLA","Población 2",,"Cantabria","Cantabria","43º27'","-3º54'","ED50","43º26'55""","-3º54'5""","ETRS89","0034","REL",,,
"Santoña","spa","Oficial",,,"POBLA","Población 2",,"Cantabria","Cantabria","43º27'","-3º27'","ED50","43º26'56""","-3º27'5""","ETRS89","0036","REL",,,
"Suances","spa","Oficial",,,"POBLA","Población 2",,"Cantabria","Cantabria","43º26'","-4º03'","ED50","43º25'55""","-4º3'5""","ETRS89","0034","REL",,,
"Torrelavega","spa","Oficial",,,"POBLA","Población 2",,"Cantabria","Cantabria","43º21'","-4º03'","ED50","43º20'55""","-4º3'5""","ETRS89","0034","REL",,,
"La Adrada","spa","Oficial",,,"POBLA","Población 2",,"Ávila","Castilla y León","40º18'","-4º38'","ED50","40º17'55""","-4º38'4""","ETRS89","0579","REL",,,
"Arenas de San Pedro","spa","Oficial",,,"POBLA","Población 2",,"Ávila","Castilla y León","40º13'","-5º05'","ED50","40º12'55""","-5º5'4""","ETRS89","0578","REL",,,
"Arévalo","spa","Oficial",,,"POBLA","Población 2",,"Ávila","Castilla y León","41º04'","-4º43'","ED50","41º3'55""","-4º43'4""","ETRS89","0455","REL",,,
"El Barco de Ávila","spa","Oficial",,,"POBLA","Población 2",,"Ávila","Castilla y León","40º21'","-5º31'","ED50","40º20'55""","-5º31'4""","ETRS89","0553","REL",,,
"El Barraco","spa","Oficial",,,"POBLA","Población 2",,"Ávila","Castilla y León","40º28'","-4º38'","ED50","40º27'55""","-4º38'4""","ETRS89","0556","REL",,,
"Candeleda","spa","Oficial",,,"POBLA","Población 2",,"Ávila","Castilla y León","40º09'","-5º14'","ED50","40º8'55""","-5º14'4""","ETRS89","0600","REL",,,
"Cebreros","spa","Oficial",,,"POBLA","Población 2",,"Ávila","Castilla y León","40º28'","-4º27'","ED50","40º27'55""","-4º27'4""","ETRS89","0557","REL",,,
"El Hoyo de Pinares","spa","Oficial",,,"POBLA","Población 2",,"Ávila","Castilla y León","40º30'","-4º25'","ED50","40º29'55""","-4º25'4""","ETRS89","0532","REL",,,
"Navaluenga","spa","Oficial",,,"POBLA","Población 2",,"Ávila","Castilla y León","40º24'","-4º42'","ED50","40º23'55""","-4º42'4""","ETRS89","0556","REL",,,
"Las Navas del Marqués","spa","Oficial",,,"POBLA","Población 2",,"Ávila","Castilla y León","40º36'","-4º20'","ED50","40º35'55""","-4º20'4""","ETRS89","0532","REL",,,
"Piedralaves","spa","Oficial",,,"POBLA","Población 2",,"Ávila","Castilla y León","40º19'","-4º42'","ED50","40º18'55""","-4º42'4""","ETRS89","0579","REL",,,
"Sotillo de la Adrada","spa","Oficial",,,"POBLA","Población 2",,"Ávila","Castilla y León","40º18'","-4º35'","ED50","40º17'55""","-4º35'4""","ETRS89","0579","REL",,,
"El Tiemblo","spa","Oficial",,,"POBLA","Población 2",,"Ávila","Castilla y León","40º25'","-4º30'","ED50","40º24'55""","-4º30'4""","ETRS89","0557","REL",,,
"Aranda de Duero","spa","Oficial",,,"POBLA","Población 2",,"Burgos","Castilla y León","41º40'","-3º41'","ED50","41º39'55""","-3º41'4""","ETRS89","0346","REL",,,
"Belorado","spa","Oficial",,,"POBLA","Población 2",,"Burgos","Castilla y León","42º25'","-3º11'","ED50","42º24'55""","-3º11'4""","ETRS89","0201","REL",,,
"Briviesca","spa","Oficial",,,"POBLA","Población 2",,"Burgos","Castilla y León","42º33'","-3º19'","ED50","42º32'55""","-3º19'5""","ETRS89","0168","REL",,,
"Lerma","spa","Oficial",,,"POBLA","Población 2",,"Burgos","Castilla y León","42º02'","-3º45'","ED50","42º1'55""","-3º45'4""","ETRS89","0276","REL",,,
"Medina de Pomar","spa","Oficial",,,"POBLA","Población 2",,"Burgos","Castilla y León","42º56'","-3º29'","ED50","42º55'55""","-3º29'5""","ETRS89","0110","REL",,,
"Miranda de Ebro","spa","Oficial",,,"POBLA","Población 2",,"Burgos","Castilla y León","42º41'","-2º57'","ED50","42º40'55""","-2º57'4""","ETRS89","0137","REL",,,
"Quintanar de la Sierra","spa","Oficial",,,"POBLA","Población 2",,"Burgos","Castilla y León","41º59'","-3º02'","ED50","41º58'55""","-3º2'4""","ETRS89","0316","REL",,,
"Roa","spa","Oficial",,,"POBLA","Población 2",,"Burgos","Castilla y León","41º42'","-3º56'","ED50","41º41'55""","-3º56'4""","ETRS89","0345","REL",,,
"Salas de los Infantes","spa","Oficial",,,"POBLA","Población 2",,"Burgos","Castilla y León","42º01'","-3º16'","ED50","42º0'55""","-3º16'4""","ETRS89","0277","REL",,,
"Villarcayo","spa","Oficial",,,"POBLA","Población 2","Villarcayo de Merindad de Castilla la Vieja","Burgos","Castilla y León","42º56'","-3º34'","ED50","42º55'55""","-3º34'5""","ETRS89","0109","REL",,,
"La Selva del Camp","cat","Oficial",,,"POBLA","Población 2",,"Tarragona","Cataluña/Catalunya","41º13'","1º08'","ED50","41º12'56""","1º7'56""","ETRS89","0445","REL",,,
"La Sénia","cat","Oficial",,,"POBLA","Población 2",,"Tarragona","Cataluña/Catalunya","40º38'","0º17'","ED50","40º37'55""","0º16'56""","ETRS89","0546","REL",,,
"Cuenca","spa","Oficial",,,"POBLA","Capital de Provincia",,"Cuenca","Castilla-La Mancha","40º04'","-2º07'","ED50","40º3'55""","-2º7'4""","ETRS89","0610","REL",,,
"Guadalajara","spa","Oficial",,,"POBLA","Capital de Provincia",,"Guadalajara","Castilla-La Mancha","40º38'","-3º09'","ED50","40º37'55""","-3º9'4""","ETRS89","0536","REL",,,
"Toledo","spa","Oficial",,,"POBLA","Capital de Provincia",,"Toledo","Castilla-La Mancha","39º51'","-4º01'","ED50","39º50'55""","-4º1'4""","ETRS89","0629","REL",,,
"Barcelona","cat","Oficial",,,"POBLA","Capital de Provincia",,"Barcelona","Cataluña/Catalunya","41º23'","2º10'","ED50","41º22'56""","2º9'56""","ETRS89","0421","REL",,,
"Girona","cat","Oficial",,,"POBLA","Capital de Provincia",,"Girona","Cataluña/Catalunya","41º58'","2º49'","ED50","41º57'56""","2º48'56""","ETRS89","0334","REL",,"Gerona","spa"
"Lleida","cat","Oficial",,,"POBLA","Capital de Provincia",,"Lleida","Cataluña/Catalunya","41º36'","0º37'","ED50","41º35'56""","0º36'56""","ETRS89","0388","REL",,"Lérida","spa"
"Tarragona","cat","Oficial",,,"POBLA","Capital de Provincia",,"Tarragona","Cataluña/Catalunya","41º07'","1º15'","ED50","41º6'56""","1º14'56""","ETRS89","0473","REL",,,
"Ceuta","spa","Oficial",,,"POBLA","Capital de Provincia",,,"Ciudad de Ceuta","35º53'","-5º18'","ED50","35º52'55""","-5º18'4""","ETRS89","1110","REL",,,
"Melilla","spa","Oficial",,,"POBLA","Capital de Provincia",,,"Ciudad de Melilla","35º17'","-2º56'","ED50","35º16'55""","-2º56'4""","ETRS89","1111","REL",,,
"Madrid","spa","Oficial",,,"POBLA","Capital de Provincia",,"Madrid","Comunidad de Madrid","40º24'","-3º41'","ED50","40º23'55""","-3º41'4""","ETRS89","0559","REL",,,
"Pamplona/Iruña","spa/eus","Oficial",,,"POBLA","Capital de Provincia",,"Navarra","Comunidad Foral de Navarra","42º48'","-1º38'","ED50","42º47'56""","-1º38'4""","ETRS89","0141","REL",,,
"Alicante/Alacant","spa/cat","Oficial",,,"POBLA","Capital de Provincia",,"Alacant/Alicante","Comunitat Valenciana","38º21'","-0º29'","ED50","38º20'55""","-0º29'4""","ETRS89","0872","REL",,,
"Valencia","spa","Oficial",,,"POBLA","Capital de Provincia",,"València/Valencia","Comunitat Valenciana","39º28'","-0º22'","ED50","39º27'55""","-0º22'4""","ETRS89","0722","REL",,,
"Castellón de la Plana/Castelló de la Plana","spa/cat","Oficial",,,"POBLA","Capital de Provincia",,"Castelló/Castellón","Comunitat Valenciana","39º59'","-0º02'","ED50","39º58'55""","-0º2'4""","ETRS89","0641","REL",,,
"Chiclana de la Frontera","spa","Oficial",,,"POBLA","Población 1",,"Cádiz","Andalucía","36º25'","-6º08'","ED50","36º24'55""","-6º8'4""","ETRS89","1069","REL",,,
"Jerez de la Frontera","spa","Oficial",,,"POBLA","Población 1",,"Cádiz","Andalucía","36º42'","-6º07'","ED50","36º41'55""","-6º7'4""","ETRS89","1048","REL",,,
"La Línea de la Concepción","spa","Oficial",,,"POBLA","Población 1",,"Cádiz","Andalucía","36º10'","-5º20'","ED50","36º9'55""","-5º20'4""","ETRS89","1075","REL",,,
"San Fernando","spa","Oficial",,,"POBLA","Población 1",,"Cádiz","Andalucía","36º27'","-6º12'","ED50","36º26'55""","-6º12'4""","ETRS89","1068","REL",,,
"Córdoba","spa","Oficial",,,"POBLA","Población 1",,"Córdoba","Andalucía","37º52'","-4º46'","ED50","37º51'55""","-4º46'4""","ETRS89","0923","REL",,,
